"Регион РФ(область, край, город фед. значения, округ)",Административный район,Населённый пункт,Улица,Плановое время начала отключения электроснабжения,Плановое время начала отключения электроснабжения Время,Плановое время восстановления отключения электроснабжения,Плановое время восстановления отключения электроснабжения Время,Филиал,РЭС,Комментарий,Id здания,Координаты
Ленинградская область,Всеволожский район,"пром зона Птице фабрика невская,  д. Аньялово.",,25-09-2023,10:00,25-09-2023,17:00,Северные электрические сети,Сертоловский РЭС,,,
Ленинградская область,Бокситогорский район,"д. Васьково,  д.Максимово,  д. Платаново, д. Озеро-Село,  д. Марьино-Село",,25-09-2023,10:00,25-09-2023,13:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Гатчинский район ,"д. Покровская,  д. Антелево",,25-09-2023,10:00,25-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,,,
Ленинградская область,Всеволожский район,"Свердлово, д.Овцино",,25-09-2023,10:00,25-09-2023,17:23,Северные электрические сети,Всеволожский РЭС,,,
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,25-09-2023,10:00,25-09-2023,20:00,Южные электрические сети,Красносельский РЭС,,,
Ленинградская область,Волосовский район,"Пружицы,  Голятицы  ",,25-09-2023,09:00,25-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,,
Ленинградская область,Тосненский район,г.Любань,"Октября,  Калинина,  Чкалова,  Пушкина",25-09-2023,09:00,25-09-2023,18:00,Гатчинские ЭС,Тосненский РЭС,Обрезка крон деревьев.,,
Ленинградская область,Тосненский район,г.Любань,"Октября,  Калинина,  Чкалова,  Пушкина",25-09-2023,09:00,25-09-2023,18:00,Гатчинские ЭС,Тосненский РЭС,Обрезка крон деревьев.,,
Ленинградская область,Бокситогорский район,д.Мозолево-1,,25-09-2023,09:00,25-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Волосовский район,"Ямки,  Руссковицы",,25-09-2023,09:00,25-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Работы на ВЛ 10кВ Ф-6 ПС-518,,
Ленинградская область,Лужский район,"Малые Озерцы,  Большие Озерцы,  Крени,  Бор",,25-09-2023,09:00,25-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,,,
Санкт-Петербург,Колпинский район,п. Металлострой,пром зона Металлострой,24-09-2023,10:00,24-09-2023,16:00,Южные электрические сети,Колпинский РЭС,,,
Ленинградская область,Бокситогорский район,"ДРП,  ГРС,  Артскважина СХТ,  СХТ Гаражи,  СХТ-дет.сад. п.Сельхозтехника д.9,  ч/сектор",,23-09-2023,10:00,23-09-2023,15:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Тосненский район,п. Рябово,"Мысленская,  Восточная,  Заводская,  Набережная,  Заречная",22-09-2023,17:00,22-09-2023,18:00,Гатчинские ЭС,Тосненский РЭС,В связи с производством оперативных переключений по ф.717-07,,
Ленинградская область,Лодейнопольский район,д.Старая Слобода,Центр,22-09-2023,13:00,22-09-2023,16:00,Новоладожские ЭС,Лодейнопольский РЭС,,,
Санкт-Петербург,Фрунзенский район,Санкт-Петербург,Лиговский пр. д. 179 л.А; д.183 л.А; д.185 л.А.,22-09-2023,11:00,22-09-2023,15:00,Кабельная сеть,Южный РЭС,,,
Санкт-Петербург,Красногвардейский район,Санкт-Петербург,"Красногвардейская площадь, д3",22-09-2023,10:30,22-09-2023,17:00,Кабельная сеть,Правобережный РЭС,,,
Ленинградская область,Ломоносовский район,д.Лаголово,,22-09-2023,10:00,22-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-482,,
Ленинградская область,Всеволожский район,д.Борисова Грива,,22-09-2023,10:00,22-09-2023,17:00,Северные электрические сети,Всеволожский РЭС,,,
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",22-09-2023,10:00,22-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,
Ленинградская область,Тосненский район,д. Сидорово,д.21а,22-09-2023,10:00,22-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,
Ленинградская область,Ломоносовский район,"д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2",,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Красносельский РЭС,,,
Ленинградская область,Лодейнопольский район,д.Новая Слобода,,22-09-2023,10:00,22-09-2023,13:00,Новоладожские ЭС,Лодейнопольский РЭС,,,
Ленинградская область,Ломоносовский район,"ДНП Простоквашино,  ДНП Фаворит",,22-09-2023,10:00,22-09-2023,16:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы (Заявка №52027),,
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Красносельский РЭС,,,
Ленинградская область,Гатчинский район ,д.Хюттелево ,,22-09-2023,10:00,22-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-5793,,
Ленинградская область,Приозерский район,п.Тракторное, полностью,22-09-2023,10:00,22-09-2023,17:00,Выборгские ЭС,Приозерский РЭС,ф.511-02 ТП-530  яч.ВН-10 ввода ф.511-02 протяжка контактных соединений.,,
Ленинградская область,Тосненский район,Федоровское ГП,Центральная,22-09-2023,10:00,22-09-2023,16:00,Южные электрические сети,Пушкинский РЭС,,,
Ленинградская область,Ломоносовский район,"д.Новополье,  д.Старые Заводы.",,22-09-2023,10:00,22-09-2023,18:00,Южные электрические сети,Красносельский РЭС,,,
Ленинградская область,Ломоносовский район,"д.Кемеряйзи,  д.Пигелево,  д.Капорское,  СНТ Колос-2,  ТСН Красносельское",,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Красносельский РЭС,,,
Ленинградская область,Ломоносовский район,"д.Кемеряйзи,  д.Пигелево,  д.Капорское,  СНТ Колос-2,  ТСН Красносельское",,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Красносельский РЭС,,,
Ленинградская область,Тосненский район,п .Тельмана,ш. Красноборское,22-09-2023,10:00,25-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,,,
Ленинградская область,Выборгский район (ЛО),"п Майнило,  Ленинское ","СНТ Алакюль,   ДНП Золотая Роща,  Фермерское х-во Алакюль-2,   ДНП Майнила 2,  ДПК ""Созвездие""",22-09-2023,10:00,22-09-2023,17:00,Выборгские ЭС,Рощинский РЭС,,,
Ленинградская область,Выборгский район (ЛО),п Волочаевка,"усадьба Кархула ,  Крестьянский проезд ",22-09-2023,10:00,22-09-2023,14:00,Выборгские ЭС,Рощинский РЭС,,,
Ленинградская область,Бокситогорский район,часть д. Дыми,,22-09-2023,10:00,22-09-2023,15:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Ломоносовский район,"д.Нижняя Бронна,  д.Пеники,  д.Лагерево и др.","ч/с,  промзона и др. объекты",22-09-2023,10:00,22-09-2023,16:00,Южные электрические сети,Петродворцовый  РЭС,"Работы по перераспределению нагрузок, сборка шлейфов на ВЛ-6кВ.",,
Ленинградская область,Ломоносовский район,"д. Яльгелево,  ",,22-09-2023,10:00,22-09-2023,20:00,Южные электрические сети,Красносельский РЭС,"ТП-2079, ТП-6380 кратковременно 2 раза на 30 минут для установки РИСЭ.",,
Ленинградская область,Лодейнопольский район,Ветхое Село,,22-09-2023,09:30,22-09-2023,16:00,Новоладожские ЭС,Лодейнопольский РЭС,,,
Ленинградская область,Бокситогорский район,д.Мозолево-1,,22-09-2023,09:00,22-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Гатчинский район ,д.Горки (рядом д.Мины),,22-09-2023,09:00,22-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,,,
Ленинградская область,Бокситогорский район,д.Золотово,,22-09-2023,09:00,22-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Всеволожский район,"д.Мистолово, д.Корабсельки",,22-09-2023,09:00,22-09-2023,17:00,Северные электрические сети,Сертоловский РЭС,,,
Ленинградская область,Волосовский район, Волна,,22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,,
Ленинградская область,Бокситогорский район,д.Абрамова Гора,,22-09-2023,09:00,22-09-2023,16:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Гатчинский район ,"Елизаветино (частично),  Эду,  Луйсковицы ",,22-09-2023,09:00,22-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,,,
Ленинградская область,Лужский район,Гверездно,,22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,,,
Ленинградская область,Киришский район,СТ Рассвет,Полностью ,22-09-2023,09:00,22-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Тосненский район,г. Любань,"жил.дома-ул.Березовая аллея,       жил.дома-ул.Пролетарская, Калинина, Красная, Советская, Луговая                                                         8-е марта, Кирова, Эрджигитова, Урицкого, ",22-09-2023,09:00,22-09-2023,18:30,Гатчинские ЭС,Тосненский РЭС,Чистка трассы ВЛ от ДКР,,
Ленинградская область,Всеволожский район,д.Борисова Грива,,22-09-2023,09:00,22-09-2023,17:00,Северные электрические сети,Всеволожский РЭС,,,
Ленинградская область,Киришский район,"д.Андреево,  д.Багольник",деревня,22-09-2023,09:00,22-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Кингисеппский район,"Старое Гарколово,  Новое Гарколово","Забалканская,  Пограничная,  Сиреневая,  база отдыха",22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,,
Ленинградская область,Всеволожский район,д.Борисова Грива,,22-09-2023,09:00,22-09-2023,16:00,Северные электрические сети,Всеволожский РЭС,,,
Ленинградская область,Бокситогорский район,"д. Лиственка,  д. Костерино,  д.Перунь",,22-09-2023,09:00,22-09-2023,18:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Киришский район,"Еврейское болото, СТ Бережки,  АЗС-217 ""Киришиавтосервис""",,22-09-2023,09:00,22-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Волосовский район,д. Голубовицы д. Шелково д. Кивалицы д. Добряницы д. Каськово д. Модолицы,,22-09-2023,09:00,22-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы,,
Ленинградская область,Волховский район,"Куколь,  Конец,  Заднево,  Нивы,  Дяглево,  Ежева,  Юрцево,  Монцево,  Великое село,  Хамонтово,  Коскеницы,  Колчаново","Нагорная,  Набережная,  Советская,  Центральная",22-09-2023,09:00,22-09-2023,17:00,Новоладожские ЭС,Волховский РЭС,,,
Ленинградская область,Волховский район,Кисельня,"Телятник (Кисельня),  ск. Двор (Кисельня),  микрорайон Клёники,  Пилорама,  Кисельнинская средняя общеобразовательная школа,  Центральная улица  ",22-09-2023,09:00,22-09-2023,17:00,Новоладожские ЭС,Волховский РЭС,,,
Ленинградская область,Тихвинский район,"ТП 15-07-07 (Кострино),  д. Воложба (ТП 15-07-10),  д. Городище (ТП 15-07-09),  д. Плёсо (ТП 15-07-08)",,22-09-2023,09:00,22-09-2023,18:00,Тихвинские ЭС,Тихвинский РЭС,"Отключение в д. Плёсо, д. Воложба, д. Городище будет не более 1 часа, для подключения РИСЭ. В д. Кострино отключение будет на весь период рабочего дня.",,
Ленинградская область,Волосовский район,Зимитицы,"д.6,  частный сектор, школа,  водозабор,  очистные,  ГРС",22-09-2023,09:00,22-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Работы на ВЛ 10кВ Ф-4 ПС-Бегуницы,,
Ленинградская область,Волосовский район,"Ямки,  Руссковицы",,22-09-2023,09:00,22-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Работы на ВЛ 10кВ Ф-6 ПС-518,,
Ленинградская область,Лужский район,"Малые Озерцы,  Бор",,22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,,,
Ленинградская область,Лужский район,"Натальино,  База отдыха Муравейно",,22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,,,
Ленинградская область,Кингисеппский район,"Литизно,  Куты,  Гурлево",,22-09-2023,09:00,22-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,,
Ленинградская область,Гатчинский район ,Батово (частный сектор),,22-09-2023,09:00,22-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,Неотложные работы,,
Ленинградская область,Гатчинский район ,Маргусы,,22-09-2023,09:00,22-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,Неотложные работы,,
Ленинградская область,Гатчинский район ,Рождествено,Терещенко,22-09-2023,09:00,22-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,Неотложные работы.,,
Ленинградская область,Гатчинский район ,Карташевская,"Советская,  Зеленая, Горького",22-09-2023,09:00,22-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,Неотложные работы,,
Ленинградская область,Гатчинский район ,"Пегелево,  Кирлово,  Торфопредприятия,  СНТ,  торфопредприятия, ",,22-09-2023,09:00,22-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,,,
Ленинградская область,Ломоносовский район,"СНТ ""Трансмаш""",ч/с и пр.,22-09-2023,08:30,22-09-2023,16:00,Южные электрические сети,Петродворцовый  РЭС,Неотложные работы персоналом ВВР Южный по профилактическому восстановлению РЗА Ф.222-614.,,
Ленинградская область,Бокситогорский район,д.Забелье Ефимовское с/п,,22-09-2023,06:00,22-09-2023,18:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Тосненский район,п. Рябово,"Мысленская,  Восточная,  Заводская,  Набережная,  Заречная",22-09-2023,06:00,22-09-2023,07:00,Гатчинские ЭС,Тосненский РЭС,В связи с производством оперативных переключений по ф.717-07,,
Ленинградская область,Бокситогорский район,"д. Новинка,  д.Логиново,  д. Курята д.Толсть , д.Бирючево, д.Коргорка, д.Дубровка, д.Забелино, д.Маклаково, д.Селище",д.Климово пилорамы,22-09-2023,04:00,22-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Ломоносовский район,"д.Верняя Бронка,  д.Верхняя Бронна,  д.Малое Коновалово,  д.Лангерево,  СНТ ""Лангерево"",  СНТ ""Ягодное-2"",  СНТ ""Ягодное"",  д.Кузнецы,  ПАО ""Мегафон""-Пеники,  вышка GSM- Малое Коновалово и др.","ч/с,  промзона и др. объекты",21-09-2023,20:00,22-09-2023,23:59,Южные электрические сети,Петродворцовый  РЭС,"В течении указанного периода, кратковременно до 30 минут 2 раза. Оперативные переключения по Ф.223-10, Ф.Гидроприбор-09 для подготовки схемы к ремонту, и восстановлению нормальной схемы после ремонта.",,
Ленинградская область,Волосовский район,Клопицы (частный сектор),население по дороге на Медниково,21-09-2023,13:00,21-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на ТП-8190,,
Ленинградская область,Гатчинский район ,"п.Новинка, д.Новинка, Озерешно, Ольховец, Нестерково, Тарасино, Чаща, Дальний, Воцко, Кремено, Ракитино, СНТ""Новинка"".",,21-09-2023,12:00,21-09-2023,16:00,,,Работы на ПС-35 кВ Новинка.,,
Ленинградская область,Всеволожский район,"Вартемяги,  Скотное ,  Рапполово,  Кавголово,  ",,21-09-2023,11:00,21-09-2023,17:00,Северные электрические сети,Сертоловский РЭС,,,
Ленинградская область,Гатчинский район ,"Изора,  Лязево,  Протасовка",,21-09-2023,10:30,21-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,"Ремонт ЛР 10кВ на опоре №81/1 к ТП-1625, кронирование угрожающих деревьев",,
Ленинградская область,Лодейнопольский район,Яровщина,,21-09-2023,10:30,21-09-2023,16:00,Новоладожские ЭС,Лодейнопольский РЭС,,,
Санкт-Петербург,Приморский район (СПб),Санкт-Петербург,"ул. Нижне-Каменская д. 11,  ул. Нижне-Каменская д. 7 к. 1,  ул. Нижне-Каменская д. 7 к. 2,  Светофор,  ",21-09-2023,10:00,21-09-2023,17:00,Кабельная сеть,Западный РЭС,,,
Ленинградская область,Приозерский район,п.Студеное,Лесная,21-09-2023,10:00,21-09-2023,17:00,Выборгские ЭС,Приозерский РЭС,ВЛ-0.4кВ Л-1 от ТП-109 Перетяжка проводов в пролете оп.№5-6,,
Ленинградская область,Всеволожский район,"д.Екатериновка  пилорамма,  автозаправка д. Екатериновка,  ИП Шевцов,  СНТ «Новая Екатериновка»,  СНТ «Грузино-парк»,  СНТ «Долина»,  Индустриальный парк «Екатерининский»,  ООО «Конструктив»",,21-09-2023,10:00,21-09-2023,17:00,Северные электрические сети,Сертоловский РЭС,,,
Санкт-Петербург,Красносельский район,Красное село,пр. Ленина,21-09-2023,10:00,21-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-407к отключение на 2 час,,
Санкт-Петербург,Красносельский район,Красное село,пр. Ленина,21-09-2023,10:00,21-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-407к отключение на 2 час,,
Санкт-Петербург,Всеволожский район,Ржевка,,21-09-2023,10:00,21-09-2023,17:00,Северные электрические сети,Всеволожский РЭС,,,
Ленинградская область,Всеволожский район,"Приютино,  Ковалево",,21-09-2023,10:00,21-09-2023,17:00,Северные электрические сети,Всеволожский РЭС,,,
Ленинградская область,Тосненский район,п. Сиголово,"Солнечная,  Заречная",21-09-2023,10:00,21-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,
Ленинградская область,Тосненский район,д. Сидорово,д.21а,21-09-2023,10:00,21-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,
Ленинградская область,Тосненский район,д. Сидорово,д.21а,21-09-2023,10:00,21-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Выполнение замены провода на СИП, и вводов на здания.",,
Ленинградская область,Ломоносовский район,"д.Пигелево,  д. Кемяряйзи, д.Кемеряйзи,   д.Капорское,  ,  КП Аннинские высоты,  СНТ Колос 2",,21-09-2023,10:00,21-09-2023,20:00,Южные электрические сети,Красносельский РЭС,,,
Ленинградская область,Ломоносовский район,д.Разбегаево,,21-09-2023,10:00,21-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-492,,
Ленинградская область,Ломоносовский район,д.Райкузи,,21-09-2023,10:00,21-09-2023,18:00,Южные электрические сети,Красносельский РЭС,"ТП-5840, ТП-6396",,
Ленинградская область,Ломоносовский район,п.Виллози.,,21-09-2023,10:00,21-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-516,,
Ленинградская область,Ломоносовский район,п. Аннино.,,21-09-2023,10:00,21-09-2023,17:00,Южные электрические сети,Красносельский РЭС,ТП-579,,
Ленинградская область,Лодейнопольский район,Рассвет,"д. 1,  2,  3,  4",21-09-2023,10:00,21-09-2023,16:00,Новоладожские ЭС,Лодейнопольский РЭС,,,
Ленинградская область,Лодейнопольский район,"д.Зиновий наволок,  Матреновщина",,21-09-2023,10:00,21-09-2023,16:00,Новоладожские ЭС,Лодейнопольский РЭС,,,
Ленинградская область,Ломоносовский район,СНТ Заостровье Заостровье Гостилицы ДНП Долина Уюта КП Медовая поляна Старый Бор Новое Заостровье СНТ Петергофские Предместья Большое Горлово ур. Мишелово Горлово,,21-09-2023,10:00,21-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы,,
Ленинградская область,Ломоносовский район,"д.Капорское,  д. Кемпелево,  д.Тиммолово,  д.Яльгелево.",,21-09-2023,10:00,21-09-2023,20:00,Южные электрические сети,Красносельский РЭС,,,
Ленинградская область,Лужский район,Загорье,,21-09-2023,10:00,22-09-2023,16:00,Кингисеппские ЭС,Лужский РЭС,,,
Ленинградская область,Лужский район,Загорье,,21-09-2023,10:00,22-09-2023,16:00,Кингисеппские ЭС,Лужский РЭС,,,
Ленинградская область,Киришский район,д.Среднее село,Частично,21-09-2023,10:00,21-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Киришский район,д.Среднее село,Частично,21-09-2023,10:00,21-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Тосненский район,"Федоровское ГП, ","уч. Восточный,  1-й Восточный,  Промышленная,  Оборонная,  Пролетарская,  Техническая,  1-й Оборонный проезд,  ",21-09-2023,10:00,21-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,,,
Ленинградская область,Тосненский район,"садоводческий массив ижора,  гп. Федоровское,  садоводство Контакт,  садоводство Текстиль,  садоводство Уголек","ул. Южная дорога,  ул. Полевая",21-09-2023,10:00,21-09-2023,16:00,Южные электрические сети,Пушкинский РЭС,,,
Ленинградская область,Ломоносовский район,"д.Кабацкое,  д.Ускуля,  д.Кукушкино,  д. Кузнецы,  д. Б. Коновалово,  ДНП ""Лада"",  ДНП ""Дружное"",  и др.",ч/с промзона и пр.,21-09-2023,10:00,21-09-2023,18:00,Южные электрические сети,Петродворцовый  РЭС,"Работы по монтажу опор ВЛ-6кВ, Ф.Гидроприбор-12, от РК-15 в сторону ТП-841П.",,
Ленинградская область,Киришский район,Будогощь,"Железнодорожная 6б(м.Петерочка,  магнит,  Волховское райпо), Комсомольская,  Кооперативная,  Первомайская,  Кирова,  Октябрьская,  Озерная,  Делегатская,  дома №№ 1-20; Пионерская,  дома №№ 5,  6. Советская (частично)",21-09-2023,10:00,21-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Киришский район,Гремячево,частично,21-09-2023,10:00,21-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Гатчинский район ,"Выра,  Замостье",,21-09-2023,10:00,21-09-2023,18:00,Гатчинские ЭС,Гатчинский РЭС,Замена ЛР-481 оп. 63/3,,
Ленинградская область,Ломоносовский район,"д.Кемеряйзи,  д.Пигелево,  д.Капорское,  СНТ Колос-2,  ТСН Красносельское",,21-09-2023,10:00,21-09-2023,20:00,Южные электрические сети,Красносельский РЭС,,,
Ленинградская область,Пушкинский район,Пудомяги,,21-09-2023,10:00,21-09-2023,17:00,Южные электрические сети,Пушкинский РЭС,,,
Ленинградская область,Тосненский район,Шапки,Железнодорожная,21-09-2023,10:00,20-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,"Замена вводов 0,4кВ в здания.",,
Ленинградская область,Лодейнопольский район,Шириничи,,21-09-2023,10:00,21-09-2023,16:00,Новоладожские ЭС,Лодейнопольский РЭС,,,
Ленинградская область,Лодейнопольский район,"Агашово,  Шапша,  Печеницы,  Руссконицы",,21-09-2023,09:30,21-09-2023,16:30,Новоладожские ЭС,Лодейнопольский РЭС,,,
Ленинградская область,Бокситогорский район,д.Славково,,21-09-2023,09:30,21-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Бокситогорский район,"д. Лиственка,  д. Шибалово,  д.Никольское,  д.Плутно,  д.Ионино,  д.Стехново,  д.Лидь,  д. Лукинское,  д. Лесное,  п. Утишье,  п. Головачево",,21-09-2023,09:00,21-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Бокситогорский район,Чудцы-РТРС,,21-09-2023,09:00,21-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Приозерский район,п. Сосново,"ж/дома: ул. Шоссейная,  ул. Ленинградская,  ул. Набережная,  ул. Железнодорожная,  Еловый пер.,  ул. Ладожская АЗС «Кириши»,  БС ""Билайн"",  ""Газпроминвест"",  шиномонтаж,  ""Дельта""",21-09-2023,09:00,21-09-2023,18:00,Выборгские ЭС,Приозерский РЭС,,,
Ленинградская область,Бокситогорский район,д.Маклаково,,21-09-2023,09:00,21-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Гатчинский район ,д.Горки (рядом д.Мины),,21-09-2023,09:00,21-09-2023,17:00,Гатчинские ЭС,Тосненский РЭС,,,
Ленинградская область,Бокситогорский район,Чудцы-РТРС,,21-09-2023,09:00,21-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Волосовский район,"Ронковицы, Ольхово, Греблово, Медниково",население,21-09-2023,09:00,21-09-2023,18:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ ,,
Ленинградская область,Волосовский район,"Красные Череповицы, Ржевка, Клопицы (частный сектор)",население,21-09-2023,09:00,21-09-2023,18:00,Гатчинские ЭС,Ломоносовский РЭС,Плановые работы на ВЛ 10кВ ,,
Ленинградская область,Бокситогорский район,д.Абрамова Гора,,21-09-2023,09:00,21-09-2023,17:00,Тихвинские ЭС,Бокситогорский РЭС,,,
Ленинградская область,Тосненский район,г. Любань,"жил.дома-ул.Березовая аллея,       жил.дома-ул.Пролетарская, Калинина, Красная, Советская, Луговая                                                         8-е марта, Кирова, Эрджигитова, Урицкого, ",21-09-2023,09:00,21-09-2023,18:30,Гатчинские ЭС,Тосненский РЭС,Чистка трассы ВЛ от ДКР,,
Ленинградская область,Лужский район,Холомцы,,21-09-2023,09:00,21-09-2023,17:00,Кингисеппские ЭС,Лужский РЭС,,,
Ленинградская область,Киришский район,СТ Рассвет,Полностью ,21-09-2023,09:00,21-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Всеволожский район,СНТ Кокосы.,-,21-09-2023,09:00,21-09-2023,19:00,Северные электрические сети,Всеволожский РЭС,,,
Ленинградская область,Киришский район,"д.Андреево,  д.Багольник",деревня,21-09-2023,09:00,21-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Кингисеппский район,"Старое Гарколово,  Новое Гарколово","Забалканская,  Пограничная,  Сиреневая,  база отдыха",21-09-2023,09:00,21-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,,
Ленинградская область,Всеволожский район,д.Мистолово ,,21-09-2023,09:00,21-09-2023,16:00,Северные электрические сети,Сертоловский РЭС,,,
Ленинградская область,Всеволожский район,п.Ново-девяткино,пром.зона,21-09-2023,09:00,21-09-2023,17:00,Северные электрические сети,Сертоловский РЭС,,,
Ленинградская область,Волховский район,д. Загубье,Набережная,21-09-2023,09:00,21-09-2023,16:00,Новоладожские ЭС,Лодейнопольский РЭС,Плановое отключение,,
Ленинградская область,Волосовский район,Клопицы (частный сектор),население по основной дороге,21-09-2023,09:00,21-09-2023,12:00,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на ТП-8130,,
Ленинградская область,Волосовский район,"Сельцо,  Слободка,  Рутелицы",население ,21-09-2023,09:00,21-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на ВЛ 10кВ,,
Ленинградская область,Тихвинский район,"д. Засыпье,  д. Вяльгино",,21-09-2023,09:00,21-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Волосовский район,"Стойгино, Смедово, Черенковицы",население ,21-09-2023,09:00,21-09-2023,17:00,Гатчинские ЭС,Ломоносовский РЭС,плановые работы на  ВЛ 10кВ ,,
Ленинградская область,Киришский район,"Еврейское болото, СТ Бережки,  АЗС-217 ""Киришиавтосервис""",,21-09-2023,09:00,21-09-2023,17:00,Тихвинские ЭС,Тихвинский РЭС,,,
Ленинградская область,Волосовский район,п. Молосковицы ,,21-09-2023,09:00,21-09-2023,17:00,Кингисеппские ЭС,Кингисеппский РЭС,,,
